GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
KEGG_RETINOL_METABOLISM	45	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_RETINOL_METABOLISM	0.58606	1.9831	0	0.060283	0.034	0.133	0.0216	0.131	0	0.03
KEGG_TYROSINE_METABOLISM	42	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_TYROSINE_METABOLISM	0.61345	1.9463	0	0.061773	0.056	0.167	0.0148	0.165	0	0.023
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	65	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	0.56438	1.9012	0	0.10075	0.109	0.138	0.0216	0.136	0	0.031
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.66412	1.9008	0	0.075564	0.109	0.188	0.0486	0.179	0	0.014
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	74	http://www.broadinstitute.org/gsea/msigdb/cards/NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	0.63752	1.884	0	0.08368	0.131	0.243	0.0281	0.237	0	0.018
SCHLESINGER_METHYLATED_DE_NOVO_IN_CANCER	84	http://www.broadinstitute.org/gsea/msigdb/cards/SCHLESINGER_METHYLATED_DE_NOVO_IN_CANCER	0.54218	1.7981	0	0.29471	0.372	0.214	0.0521	0.204	0	0.074
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP	139	http://www.broadinstitute.org/gsea/msigdb/cards/YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP	0.50238	1.7942	0	0.26981	0.386	0.237	0.114	0.212	0	0.063
CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_DN	19	http://www.broadinstitute.org/gsea/msigdb/cards/CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_DN	0.67682	1.7923	0	0.24381	0.393	0.368	0.169	0.306	0	0.053
RICKMAN_HEAD_AND_NECK_CANCER_F	52	http://www.broadinstitute.org/gsea/msigdb/cards/RICKMAN_HEAD_AND_NECK_CANCER_F	0.63677	1.7787	0.002045	0.26927	0.444	0.269	0.0832	0.247	0	0.055
BIOCARTA_NOS1_PATHWAY	20	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NOS1_PATHWAY	0.68022	1.7773	0.004141	0.24774	0.448	0.4	0.108	0.357	0	0.049
BIOCARTA_BAD_PATHWAY	26	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BAD_PATHWAY	0.6679	1.7626	0	0.28149	0.506	0.423	0.167	0.353	0.086542	0.058
VECCHI_GASTRIC_CANCER_EARLY_DN	342	http://www.broadinstitute.org/gsea/msigdb/cards/VECCHI_GASTRIC_CANCER_EARLY_DN	0.59648	1.7462	0	0.32898	0.572	0.336	0.0893	0.311	0.10725	0.069
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	0.4982	1.7451	0	0.30813	0.575	0.292	0.197	0.237	0.10227	0.066
REACTOME_NEPHRIN_INTERACTIONS	19	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NEPHRIN_INTERACTIONS	0.7356	1.7431	0	0.29366	0.581	0.526	0.161	0.442	0.10118	0.058
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	31	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.54044	1.7368	0.003759	0.2998	0.609	0.226	0.121	0.199	0.11917	0.061
KEGG_ETHER_LIPID_METABOLISM	28	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ETHER_LIPID_METABOLISM	0.61431	1.7365	0	0.28136	0.609	0.321	0.125	0.282	0.11172	0.052
DELYS_THYROID_CANCER_DN	219	http://www.broadinstitute.org/gsea/msigdb/cards/DELYS_THYROID_CANCER_DN	0.56543	1.7321	0	0.28234	0.629	0.388	0.16	0.329	0.11358	0.052
HOSHIDA_LIVER_CANCER_SURVIVAL_DN	109	http://www.broadinstitute.org/gsea/msigdb/cards/HOSHIDA_LIVER_CANCER_SURVIVAL_DN	0.50317	1.7164	0	0.32642	0.684	0.413	0.249	0.312	0.1356	0.061
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	48	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.54854	1.7137	0.004032	0.32049	0.688	0.229	0.0583	0.216	0.13498	0.058
LEE_LIVER_CANCER_E2F1_DN	60	http://www.broadinstitute.org/gsea/msigdb/cards/LEE_LIVER_CANCER_E2F1_DN	0.57298	1.7104	0	0.31828	0.701	0.367	0.153	0.312	0.14243	0.06
REACTOME_BIOLOGICAL_OXIDATIONS	118	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BIOLOGICAL_OXIDATIONS	0.43345	1.7102	0	0.30437	0.702	0.178	0.128	0.156	0.13641	0.057
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	51	http://www.broadinstitute.org/gsea/msigdb/cards/BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	0.57331	1.7061	0	0.30849	0.72	0.333	0.15	0.284	0.1375	0.057
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING	481	http://www.broadinstitute.org/gsea/msigdb/cards/BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING	0.49582	1.706	0	0.29539	0.72	0.37	0.167	0.316	0.13152	0.054
MATZUK_CENTRAL_FOR_FEMALE_FERTILITY	28	http://www.broadinstitute.org/gsea/msigdb/cards/MATZUK_CENTRAL_FOR_FEMALE_FERTILITY	0.54145	1.704	0.01779	0.29137	0.726	0.107	0.0329	0.104	0.13074	0.054
CORRE_MULTIPLE_MYELOMA_UP	68	http://www.broadinstitute.org/gsea/msigdb/cards/CORRE_MULTIPLE_MYELOMA_UP	0.56432	1.7027	0.006073	0.2849	0.731	0.25	0.0627	0.235	0.12651	0.052
SABATES_COLORECTAL_ADENOMA_DN	267	http://www.broadinstitute.org/gsea/msigdb/cards/SABATES_COLORECTAL_ADENOMA_DN	0.5134	1.7011	0.001984	0.27903	0.736	0.255	0.118	0.227	0.12234	0.05
REACTOME_PLC_BETA_MEDIATED_EVENTS	41	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PLC_BETA_MEDIATED_EVENTS	0.49569	1.7005	0	0.27063	0.738	0.244	0.119	0.215	0.11783	0.05
REACTOME_CA_DEPENDENT_EVENTS	28	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CA_DEPENDENT_EVENTS	0.55278	1.6986	0.004132	0.26805	0.749	0.25	0.103	0.225	0.11821	0.051
LEIN_NEURON_MARKERS	65	http://www.broadinstitute.org/gsea/msigdb/cards/LEIN_NEURON_MARKERS	0.49281	1.6977	0.004115	0.26233	0.755	0.2	0.0681	0.187	0.11643	0.049
REACTOME_INFLAMMASOMES	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INFLAMMASOMES	0.7189	1.689	0.005814	0.28795	0.781	0.312	0.1	0.281	0.13084	0.052
KANG_IMMORTALIZED_BY_TERT_DN	100	http://www.broadinstitute.org/gsea/msigdb/cards/KANG_IMMORTALIZED_BY_TERT_DN	0.49983	1.6849	0.003929	0.29529	0.793	0.2	0.0927	0.182	0.13289	0.055
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	57	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.55885	1.6823	0.003899	0.29576	0.796	0.263	0.128	0.23	0.13716	0.055
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	19	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.56044	1.6816	0.005576	0.28975	0.796	0.158	0.0486	0.15	0.13569	0.051
HAN_JNK_SINGALING_DN	37	http://www.broadinstitute.org/gsea/msigdb/cards/HAN_JNK_SINGALING_DN	0.60576	1.676	0	0.30117	0.816	0.324	0.106	0.291	0.14088	0.052
KEGG_HEDGEHOG_SIGNALING_PATHWAY	53	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.50533	1.6758	0.003914	0.29324	0.816	0.208	0.0909	0.189	0.13715	0.052
BIOCARTA_AMI_PATHWAY	20	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AMI_PATHWAY	0.5854	1.673	0.01073	0.29525	0.823	0.2	0.0586	0.188	0.14011	0.053
TANG_SENESCENCE_TP53_TARGETS_UP	31	http://www.broadinstitute.org/gsea/msigdb/cards/TANG_SENESCENCE_TP53_TARGETS_UP	0.57346	1.6715	0	0.29311	0.826	0.258	0.0599	0.243	0.13935	0.052
PID_SYNDECAN_2_PATHWAY	30	http://www.broadinstitute.org/gsea/msigdb/cards/PID_SYNDECAN_2_PATHWAY	0.62822	1.6697	0.01053	0.29114	0.831	0.333	0.12	0.294	0.13939	0.052
MADAN_DPPA4_TARGETS	41	http://www.broadinstitute.org/gsea/msigdb/cards/MADAN_DPPA4_TARGETS	0.58827	1.6669	0	0.29394	0.838	0.293	0.0905	0.267	0.13961	0.053
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP	112	http://www.broadinstitute.org/gsea/msigdb/cards/SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP	0.54014	1.6649	0	0.29456	0.846	0.304	0.0981	0.275	0.14185	0.053
PAL_PRMT5_TARGETS_DN	28	http://www.broadinstitute.org/gsea/msigdb/cards/PAL_PRMT5_TARGETS_DN	0.64086	1.6644	0.007722	0.2896	0.847	0.321	0.0673	0.3	0.1388	0.053
REACTOME_DARPP_32_EVENTS	22	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DARPP_32_EVENTS	0.58822	1.6559	0.00409	0.31647	0.868	0.318	0.105	0.285	0.1558	0.061
